edge_idx,src,tgt,a1,a2,prob,true_label,edge_class
0,0,1,0.10052207112312317,0.03757724538445473,0.17472077906131744,0.0,TN
1,0,2,0.09584055840969086,0.04291977733373642,0.2937927544116974,0.0,TN
2,0,3,0.09236288070678711,0.04093465581536293,0.6496150493621826,0.0,TN
3,0,6,0.10068510472774506,0.06064479053020477,0.18436264991760254,0.0,TN
4,0,7,0.0998721569776535,0.014337141066789627,0.1624867469072342,0.0,TN
5,0,8,0.08607837557792664,0.11147142946720123,0.793448805809021,0.0,FP
6,0,9,0.09524030983448029,0.08861032128334045,0.23069553077220917,0.0,TN
7,0,10,0.07965381443500519,0.15839500725269318,0.17306751012802124,0.0,TN
8,0,11,0.08354318141937256,0.03863805532455444,0.1817631721496582,0.0,TN
9,0,14,0.07788219302892685,0.034772444516420364,0.14410218596458435,0.0,TN
10,1,0,0.10052207112312317,0.03757724538445473,0.17472077906131744,0.0,TN
11,1,2,0.09479023516178131,0.1837736964225769,0.8273992538452148,0.0,FP
12,1,3,0.09115923941135406,0.11254735291004181,0.7756879329681396,0.0,FP
13,1,4,0.09503209590911865,0.0468221940100193,0.3737114667892456,0.0,TN
14,1,5,0.09898021817207336,0.2111540585756302,0.8220228552818298,1.0,TP
15,1,8,0.08548517525196075,0.06151817739009857,0.2802727222442627,0.0,TN
16,1,9,0.09564672410488129,0.05607285723090172,0.17354577779769897,0.0,TN
17,1,10,0.07943878322839737,0.11805270612239838,0.38311296701431274,0.0,TN
18,1,11,0.0831514298915863,0.03681770712137222,0.16990992426872253,0.0,TN
19,1,13,0.0858963131904602,0.06382124125957489,0.3122609257698059,0.0,TN
20,2,0,0.09584055840969086,0.04291977733373642,0.2937927544116974,0.0,TN
21,2,1,0.09479023516178131,0.1837736964225769,0.8273992538452148,0.0,FP
22,2,3,0.08732607960700989,0.10817749053239822,0.829677939414978,0.0,FP
23,2,4,0.0907895416021347,0.05201686546206474,0.2133658081293106,0.0,TN
24,2,5,0.09521143138408661,0.03732525557279587,0.1796819120645523,0.0,TN
25,2,6,0.09458790719509125,0.0332036055624485,0.11648167669773102,0.0,TN
26,2,7,0.09415517747402191,0.021237622946500778,0.09656203538179398,0.0,TN
27,2,8,0.08104933798313141,0.05849804729223251,0.11203014105558395,0.0,TN
28,2,9,0.09145346283912659,0.04542315751314163,0.1385859251022339,0.0,TN
29,2,10,0.0746244564652443,0.11716435849666595,0.1370074450969696,0.0,TN
30,2,11,0.07881447672843933,0.04596717655658722,0.11243578791618347,0.0,TN
31,3,0,0.09236288070678711,0.04093465581536293,0.6496150493621826,0.0,TN
32,3,1,0.09115923941135406,0.11254735291004181,0.7756879329681396,0.0,FP
33,3,2,0.08732607960700989,0.10817749053239822,0.829677939414978,0.0,FP
34,3,4,0.08633875846862793,0.04770071431994438,0.15568232536315918,0.0,TN
35,3,5,0.09150229394435883,0.08563216030597687,0.3613489866256714,0.0,TN
36,3,6,0.09115908294916153,0.06698672473430634,0.15032730996608734,0.0,TN
37,3,7,0.09073472023010254,0.04471982643008232,0.15189315378665924,0.0,TN
38,3,8,0.07764071226119995,0.17992141842842102,0.7968177199363708,0.0,FP
39,3,9,0.08775018155574799,0.059646621346473694,0.5133719444274902,0.0,TN
40,3,10,0.07125470787286758,0.17393314838409424,0.7583892345428467,0.0,FP
41,3,11,0.07512113451957703,0.055715352296829224,0.18173831701278687,0.0,TN
42,3,13,0.07735998183488846,0.03544240444898605,0.19637379050254822,0.0,TN
43,4,1,0.09503209590911865,0.0468221940100193,0.3737114667892456,0.0,TN
44,4,2,0.0907895416021347,0.05201686546206474,0.2133658081293106,0.0,TN
45,4,3,0.08633875846862793,0.04770071431994438,0.15568232536315918,0.0,TN
46,4,5,0.09645587205886841,0.05669660121202469,0.8116425275802612,0.0,FP
47,4,8,0.08090440928936005,0.03374798595905304,0.09051726758480072,0.0,TN
48,4,10,0.074392169713974,0.09560158848762512,0.10884598642587662,0.0,TN
49,4,11,0.07851488888263702,0.044884756207466125,0.09376225620508194,0.0,TN
50,4,26,0.09096834063529968,0.011683996766805649,0.1535799354314804,0.0,TN
51,4,27,0.0790838971734047,0.14150667190551758,0.2013476938009262,0.0,TN
52,4,28,0.07975496351718903,0.24836574494838715,0.13668911159038544,0.0,TN
53,4,29,0.08683053404092789,0.01321871392428875,0.19091016054153442,0.0,TN
54,5,1,0.09898021817207336,0.2111540585756302,0.8220228552818298,1.0,TP
55,5,2,0.09521143138408661,0.03732525557279587,0.1796819120645523,0.0,TN
56,5,3,0.09150229394435883,0.08563216030597687,0.3613489866256714,0.0,TN
57,5,4,0.09645587205886841,0.05669660121202469,0.8116425275802612,0.0,FP
58,5,8,0.0859798789024353,0.10104776918888092,0.2038155496120453,0.0,TN
59,5,10,0.08008290827274323,0.18847675621509552,0.8011780977249146,0.0,FP
60,5,11,0.08349171280860901,0.06431520730257034,0.11289490759372711,0.0,TN
61,5,13,0.085723377764225,0.11853604763746262,0.6334437131881714,1.0,FN
62,5,14,0.07755738496780396,0.07383890450000763,0.12175627052783966,0.0,TN
63,5,17,0.09511220455169678,0.04348326846957207,0.1429215371608734,0.0,TN
64,6,0,0.10068510472774506,0.06064479053020477,0.18436264991760254,0.0,TN
65,6,2,0.09458790719509125,0.0332036055624485,0.11648167669773102,0.0,TN
66,6,3,0.09115908294916153,0.06698672473430634,0.15032730996608734,0.0,TN
67,6,7,0.09974406659603119,0.049494583159685135,0.8305069804191589,0.0,FP
68,6,8,0.08542314171791077,0.06158610060811043,0.13552945852279663,0.0,TN
69,6,9,0.09636655449867249,0.04484662413597107,0.19341908395290375,0.0,TN
70,6,10,0.07925503700971603,0.15115472674369812,0.14987844228744507,0.0,TN
71,6,11,0.08353666961193085,0.04048074409365654,0.19436901807785034,0.0,TN
72,6,12,0.10010995715856552,0.06751839071512222,0.11666206270456314,1.0,FN
73,6,14,0.07782576233148575,0.04013413190841675,0.20669537782669067,0.0,TN
74,7,0,0.0998721569776535,0.014337141066789627,0.1624867469072342,0.0,TN
75,7,2,0.09415517747402191,0.021237622946500778,0.09656203538179398,0.0,TN
76,7,3,0.09073472023010254,0.04471982643008232,0.15189315378665924,0.0,TN
77,7,6,0.09974406659603119,0.049494583159685135,0.8305069804191589,0.0,FP
78,7,8,0.0851723700761795,0.04732321947813034,0.14265111088752747,0.0,TN
79,7,9,0.09485626220703125,0.11974401772022247,0.7849869132041931,1.0,TP
80,7,10,0.07887981832027435,0.16927066445350647,0.14436404407024384,0.0,TN
81,7,11,0.08288872987031937,0.042474206537008286,0.18095441162586212,0.0,TN
82,7,12,0.0997949093580246,0.03125063329935074,0.18056926131248474,0.0,TN
83,7,14,0.07707034796476364,0.08310499787330627,0.3015035092830658,0.0,TN
84,8,0,0.08607837557792664,0.11147142946720123,0.793448805809021,0.0,FP
85,8,1,0.08548517525196075,0.06151817739009857,0.2802727222442627,0.0,TN
86,8,2,0.08104933798313141,0.05849804729223251,0.11203014105558395,0.0,TN
87,8,3,0.07764071226119995,0.17992141842842102,0.7968177199363708,0.0,FP
88,8,4,0.08090440928936005,0.03374798595905304,0.09051726758480072,0.0,TN
89,8,5,0.0859798789024353,0.10104776918888092,0.2038155496120453,0.0,TN
90,8,6,0.08542314171791077,0.06158610060811043,0.13552945852279663,0.0,TN
91,8,7,0.0851723700761795,0.04732321947813034,0.14265111088752747,0.0,TN
92,8,9,0.08140424638986588,0.10453885048627853,0.7515043020248413,1.0,TP
93,8,10,0.06549045443534851,0.2492491900920868,0.7955225110054016,1.0,TP
94,8,11,0.06937314569950104,0.06769095361232758,0.3887791633605957,0.0,TN
95,8,12,0.08607420325279236,0.05111764743924141,0.12372013181447983,0.0,TN
96,8,13,0.0717989131808281,0.0375608392059803,0.36857008934020996,0.0,TN
97,8,14,0.06329875439405441,0.0835394337773323,0.4158383905887604,0.0,TN
98,9,0,0.09524030983448029,0.08861032128334045,0.23069553077220917,0.0,TN
99,9,1,0.09564672410488129,0.05607285723090172,0.17354577779769897,0.0,TN
100,9,2,0.09145346283912659,0.04542315751314163,0.1385859251022339,0.0,TN
101,9,3,0.08775018155574799,0.059646621346473694,0.5133719444274902,0.0,TN
102,9,6,0.09636655449867249,0.04484662413597107,0.19341908395290375,0.0,TN
103,9,7,0.09485626220703125,0.11974401772022247,0.7849869132041931,1.0,TP
104,9,8,0.08140424638986588,0.10453885048627853,0.7515043020248413,1.0,TP
105,9,10,0.0751565471291542,0.15480919182300568,0.1772133857011795,0.0,TN
106,9,11,0.07899807393550873,0.06932631134986877,0.1752886176109314,0.0,TN
107,9,12,0.09628711640834808,0.2521131932735443,0.7761366367340088,0.0,FP
108,9,14,0.07319013774394989,0.08620497584342957,0.6178568005561829,0.0,TN
109,10,0,0.07965381443500519,0.15839500725269318,0.17306751012802124,0.0,TN
110,10,1,0.07943878322839737,0.11805270612239838,0.38311296701431274,0.0,TN
111,10,2,0.0746244564652443,0.11716435849666595,0.1370074450969696,0.0,TN
112,10,3,0.07125470787286758,0.17393314838409424,0.7583892345428467,0.0,FP
113,10,4,0.074392169713974,0.09560158848762512,0.10884598642587662,0.0,TN
114,10,5,0.08008290827274323,0.18847675621509552,0.8011780977249146,0.0,FP
115,10,6,0.07925503700971603,0.15115472674369812,0.14987844228744507,0.0,TN
116,10,7,0.07887981832027435,0.16927066445350647,0.14436404407024384,0.0,TN
117,10,8,0.06549045443534851,0.2492491900920868,0.7955225110054016,1.0,TP
118,10,9,0.0751565471291542,0.15480919182300568,0.1772133857011795,0.0,TN
119,10,11,0.06271844357252121,0.16160573065280914,0.25754961371421814,0.0,TN
120,10,12,0.07971469312906265,0.10183268040418625,0.13181814551353455,0.0,TN
121,10,13,0.06535649299621582,0.130250483751297,0.3972252607345581,0.0,TN
122,10,14,0.05690609663724899,0.17237143218517303,0.23667019605636597,0.0,TN
123,10,17,0.07428481429815292,0.18832668662071228,0.12917068600654602,0.0,TN
124,10,18,0.0799255520105362,0.02617022953927517,0.6069222688674927,0.0,TN
125,10,29,0.07098428159952164,0.0459153950214386,0.17088741064071655,0.0,TN
126,11,0,0.08354318141937256,0.03863805532455444,0.1817631721496582,0.0,TN
127,11,1,0.0831514298915863,0.03681770712137222,0.16990992426872253,0.0,TN
128,11,2,0.07881447672843933,0.04596717655658722,0.11243578791618347,0.0,TN
129,11,3,0.07512113451957703,0.055715352296829224,0.18173831701278687,0.0,TN
130,11,4,0.07851488888263702,0.044884756207466125,0.09376225620508194,0.0,TN
131,11,5,0.08349171280860901,0.06431520730257034,0.11289490759372711,0.0,TN
132,11,6,0.08353666961193085,0.04048074409365654,0.19436901807785034,0.0,TN
133,11,7,0.08288872987031937,0.042474206537008286,0.18095441162586212,0.0,TN
