edge_idx,src,tgt,a1,a2,prob,true_label,edge_class
0,0,25,0.09964171051979065,0.03460892289876938,0.1027953028678894,0.0,TN
1,0,26,0.09602206945419312,0.06062934920191765,0.09727276116609573,0.0,TN
2,0,27,0.09674032032489777,0.05541021376848221,0.0960729569196701,0.0,TN
3,0,28,0.10216084122657776,0.17474593222141266,0.09566061198711395,0.0,TN
4,0,30,0.09774451702833176,0.0378466360270977,0.0996793657541275,0.0,TN
5,0,31,0.10073664784431458,0.0755629613995552,0.09617938101291656,0.0,TN
6,0,35,0.09790316224098206,0.039182789623737335,0.10053908824920654,0.0,TN
7,0,37,0.08958777785301208,0.049827564507722855,0.09803950786590576,0.0,TN
8,0,39,0.09725350141525269,0.04628792405128479,0.09966393560171127,0.0,TN
9,0,42,0.0986466109752655,0.03800622373819351,0.10037791728973389,0.0,TN
10,1,26,0.09421845525503159,0.04876053333282471,0.09695087373256683,0.0,TN
11,1,32,0.08666115999221802,0.025825543329119682,0.10777366161346436,0.0,TN
12,1,38,0.08054576814174652,0.1141522079706192,0.10275827348232269,0.0,TN
13,1,44,0.0941077172756195,0.12761041522026062,0.7442243099212646,1.0,TP
14,1,45,0.09254994988441467,0.09797462821006775,0.11352360248565674,0.0,TN
15,1,46,0.09793053567409515,0.1711864024400711,0.11403489112854004,0.0,TN
16,1,47,0.09550611674785614,0.031446464359760284,0.1256425678730011,0.0,TN
17,1,49,0.09472091495990753,0.03863143175840378,0.13391202688217163,0.0,TN
18,1,50,0.09616078436374664,0.09767547249794006,0.12108954787254333,0.0,TN
19,1,86,0.08422020077705383,0.034471914172172546,0.1064140796661377,0.0,TN
20,2,3,0.09355461597442627,0.04160698503255844,0.806555986404419,1.0,TP
21,2,4,0.09858936071395874,0.020702451467514038,0.35663455724716187,0.0,TN
22,2,5,0.08931595832109451,0.02866927534341812,0.11034765839576721,0.0,TN
23,2,6,0.09156189858913422,0.024383198469877243,0.11083550751209259,0.0,TN
24,2,7,0.08685577660799026,0.32526150345802307,0.12337467074394226,0.0,TN
25,2,8,0.08025738596916199,0.019896376878023148,0.14074259996414185,0.0,TN
26,2,9,0.09317789226770401,0.026719197630882263,0.11906284093856812,0.0,TN
27,2,10,0.09367197751998901,0.04356369376182556,0.11805551499128342,0.0,TN
28,2,16,0.08891253173351288,0.05791729688644409,0.0981777235865593,0.0,TN
29,2,51,0.09370727837085724,0.03629172965884209,0.12928570806980133,0.0,TN
30,3,2,0.09355461597442627,0.04160698503255844,0.806555986404419,1.0,TP
31,3,4,0.09331201016902924,0.13662773370742798,0.727526068687439,0.0,TN
32,3,5,0.08432671427726746,0.012134769931435585,0.2509392499923706,0.0,TN
33,3,6,0.08460059762001038,0.013794037513434887,0.6503720283508301,0.0,TN
34,3,7,0.08372996747493744,0.5250018835067749,0.7018243670463562,0.0,TN
35,3,8,0.07475389540195465,0.004305883776396513,0.64461350440979,1.0,FN
36,3,9,0.08897188305854797,0.014609582722187042,0.09268835186958313,0.0,TN
37,3,10,0.08943353593349457,0.019274070858955383,0.09023669362068176,0.0,TN
38,3,11,0.07630247622728348,0.008143400773406029,0.10940845310688019,0.0,TN
39,3,16,0.08369511365890503,0.01596405729651451,0.19781921803951263,0.0,TN
40,3,52,0.076947882771492,0.011202114634215832,0.16713786125183105,0.0,TN
41,4,2,0.09858936071395874,0.020702451467514038,0.35663455724716187,0.0,TN
42,4,3,0.09331201016902924,0.13662773370742798,0.727526068687439,0.0,TN
43,4,5,0.09115751087665558,0.024144480004906654,0.10152028501033783,0.0,TN
44,4,6,0.09071110188961029,0.012346280738711357,0.1366095244884491,0.0,TN
45,4,7,0.08841264247894287,0.3150661885738373,0.14650438725948334,0.0,TN
46,4,8,0.07933437824249268,0.0123656140640378,0.17510871589183807,0.0,TN
