edge_idx,src,tgt,a1,a2,prob,true_label,edge_class
0,0,1,0.09631656855344772,0.018359996378421783,0.11570482701063156,0.0,TN
1,0,2,0.0935458391904831,0.12196165323257446,0.11143004894256592,0.0,TN
2,0,3,0.1020079106092453,0.1706799566745758,0.12532880902290344,0.0,TN
3,0,7,0.08162423968315125,0.008297310210764408,0.10264445096254349,0.0,TN
4,0,8,0.09189890325069427,0.06343226134777069,0.1023140400648117,0.0,TN
5,0,9,0.09130892157554626,0.016446493566036224,0.10011354088783264,0.0,TN
6,0,10,0.09469251334667206,0.009760996326804161,0.11394553631544113,0.0,TN
7,0,11,0.08100802451372147,0.00803861953318119,0.09546175599098206,0.0,TN
8,0,14,0.09495167434215546,0.03837337717413902,0.10907725989818573,0.0,TN
9,0,15,0.08854217827320099,0.10818053781986237,0.09704707562923431,0.0,TN
10,1,0,0.09631656855344772,0.018359996378421783,0.11570482701063156,0.0,TN
11,1,2,0.09029211103916168,0.5518166422843933,0.7967268824577332,1.0,TP
12,1,3,0.0974792093038559,0.08484059572219849,0.10438596457242966,0.0,TN
13,1,7,0.07747362554073334,0.025771044194698334,0.23240934312343597,0.0,TN
14,1,8,0.0873568207025528,0.018259786069393158,0.27123546600341797,0.0,TN
15,1,9,0.08831650018692017,0.03915829211473465,0.7124404311180115,1.0,TP
16,1,10,0.09138015657663345,0.013284171931445599,0.11105288565158844,0.0,TN
17,1,11,0.07718778401613235,0.011276758275926113,0.14641790091991425,0.0,TN
18,1,12,0.09471307694911957,0.0034033216070383787,0.09547044336795807,0.0,TN
19,1,14,0.0913584977388382,0.009377292357385159,0.10975556075572968,0.0,TN
20,1,15,0.08478568494319916,0.026416046544909477,0.10084553062915802,0.0,TN
21,2,0,0.0935458391904831,0.12196165323257446,0.11143004894256592,0.0,TN
22,2,1,0.09029211103916168,0.5518166422843933,0.7967268824577332,1.0,TP
23,2,3,0.09442910552024841,0.1398436725139618,0.0967826098203659,0.0,TN
24,2,7,0.07551930844783783,0.08300614356994629,0.15732353925704956,0.0,TN
25,2,8,0.08492220193147659,0.11428947746753693,0.2236250638961792,0.0,TN
26,2,9,0.08553300052881241,0.06727318465709686,0.39631181955337524,0.0,TN
27,2,10,0.08940035104751587,0.1585771143436432,0.3425755500793457,0.0,TN
28,2,11,0.07597317546606064,0.03854341059923172,0.22058266401290894,0.0,TN
29,2,12,0.09332579374313354,0.05437212437391281,0.20762774348258972,0.0,TN
30,2,14,0.0891203060746193,0.03403232991695404,0.12417598068714142,0.0,TN
31,2,15,0.0824020579457283,0.048780810087919235,0.12274444103240967,0.0,TN
32,3,0,0.1020079106092453,0.1706799566745758,0.12532880902290344,0.0,TN
33,3,1,0.0974792093038559,0.08484059572219849,0.10438596457242966,0.0,TN
34,3,2,0.09442910552024841,0.1398436725139618,0.0967826098203659,0.0,TN
35,3,7,0.08185659348964691,0.10569070279598236,0.10445548593997955,0.0,TN
36,3,8,0.09269638359546661,0.10447962582111359,0.08801786601543427,0.0,TN
37,3,9,0.09228742122650146,0.0405726283788681,0.08408935368061066,0.0,TN
38,3,11,0.08201348781585693,0.018308255821466446,0.08775188028812408,0.0,TN
39,3,14,0.09570559859275818,0.08864949643611908,0.23139308393001556,0.0,TN
40,3,15,0.08979502320289612,0.2975946068763733,0.24830804765224457,0.0,TN
41,3,16,0.10161955654621124,0.22195342183113098,0.28017646074295044,0.0,TN
42,4,5,0.10083186626434326,0.310709148645401,0.7744941711425781,0.0,FP
43,4,6,0.10159306973218918,0.22670912742614746,0.7891907691955566,0.0,FP
44,4,17,0.10052117705345154,0.04779330641031265,0.08736606687307358,0.0,TN
45,4,18,0.10037361085414886,0.016459159553050995,0.10221773386001587,0.0,TN
46,4,19,0.08880488574504852,0.04049093648791313,0.09677369147539139,0.0,TN
47,4,20,0.08557407557964325,0.02798529341816902,0.09802180528640747,0.0,TN
48,4,21,0.09173592180013657,0.013945477083325386,0.10072989016771317,0.0,TN
49,4,22,0.08460419625043869,0.05401449650526047,0.09725560247898102,0.0,TN
50,4,30,0.08353792130947113,0.010272013023495674,0.08924580365419388,0.0,TN
51,4,31,0.08585099875926971,0.004189159721136093,0.08426012843847275,0.0,TN
52,5,4,0.10083186626434326,0.310709148645401,0.7744941711425781,0.0,FP
53,5,6,0.09983557462692261,0.3191147446632385,0.7938759326934814,0.0,FP
54,5,17,0.09839505702257156,0.015231623314321041,0.11109708249568939,0.0,TN
55,5,18,0.09921479225158691,0.055859893560409546,0.08177118748426437,0.0,TN
56,5,19,0.08702471852302551,0.015462958253920078,0.10740682482719421,0.0,TN
57,5,20,0.08405733108520508,0.08437714725732803,0.0869171991944313,0.0,TN
58,5,21,0.09113788604736328,0.05898497998714447,0.08396318554878235,0.0,TN
59,5,22,0.08337394148111343,0.008165907114744186,0.10295067727565765,0.0,TN
60,5,30,0.08270297199487686,0.03455766290426254,0.08431228250265121,0.0,TN
61,5,31,0.08795830607414246,0.008542371913790703,0.08104826509952545,0.0,TN
62,6,4,0.10159306973218918,0.22670912742614746,0.7891907691955566,0.0,FP
63,6,5,0.09983557462692261,0.3191147446632385,0.7938759326934814,0.0,FP
64,6,17,0.10062244534492493,0.038015641272068024,0.6076879501342773,0.0,TN
65,6,18,0.10044854134321213,0.23963946104049683,0.7321177124977112,0.0,FP
66,6,19,0.08869493752717972,0.015384726226329803,0.09491696953773499,0.0,TN
67,6,20,0.08566063642501831,0.05748547613620758,0.12351324409246445,0.0,TN
68,6,21,0.09171511232852936,0.037078626453876495,0.14593686163425446,0.0,TN
69,6,22,0.0844547301530838,0.019101150333881378,0.1331706941127777,0.0,TN
70,6,30,0.08317781984806061,0.03361571580171585,0.09201186895370483,0.0,TN
71,6,31,0.08524814993143082,0.010438637807965279,0.08340022712945938,0.0,TN
72,7,0,0.08162423968315125,0.008297310210764408,0.10264445096254349,0.0,TN
73,7,1,0.07747362554073334,0.025771044194698334,0.23240934312343597,0.0,TN
74,7,2,0.07551930844783783,0.08300614356994629,0.15732353925704956,0.0,TN
75,7,3,0.08185659348964691,0.10569070279598236,0.10445548593997955,0.0,TN
76,7,8,0.07357028126716614,0.08496220409870148,0.8261555433273315,0.0,FP
77,7,9,0.07332916557788849,0.10221324861049652,0.6807414293289185,0.0,TN
78,7,10,0.07612025737762451,0.04682910814881325,0.11378948390483856,0.0,TN
79,7,11,0.06342079490423203,0.16367211937904358,0.6722403764724731,0.0,TN
80,7,12,0.08105246722698212,0.012735986150801182,0.10011205077171326,0.0,TN
81,7,13,0.07636651396751404,0.038226570934057236,0.12883606553077698,0.0,TN
82,7,14,0.07643638551235199,0.012929175049066544,0.5412931442260742,1.0,FN
83,7,15,0.07032227516174316,0.09328800439834595,0.7135498523712158,1.0,TP
84,7,16,0.0814485102891922,0.05338089168071747,0.09272041916847229,0.0,TN
85,7,23,0.056662485003471375,0.10255692899227142,0.6489561200141907,0.0,TN
86,7,24,0.06438880413770676,0.017039841040968895,0.1184440553188324,0.0,TN
