edge_idx,src,tgt,a1,a2,prob,true_label,edge_class
0,0,1,0.20378565788269043,1.0833913620444946e-05,0.48157399892807007,1.0,TP
1,0,2,0.19389447569847107,0.004647605586796999,0.058363430202007294,0.0,TN
2,0,3,0.19423756003379822,0.6798890829086304,0.07788506150245667,0.0,TN
3,0,4,0.19896388053894043,0.0013155083870515227,0.06775400787591934,0.0,TN
4,0,5,0.20317748188972473,0.8054344058036804,0.061744846403598785,0.0,TN
5,1,0,0.20378565788269043,1.0833913620444946e-05,0.48157399892807007,1.0,TP
6,1,2,0.20321017503738403,2.28838525906383e-09,0.9532056450843811,1.0,TP
7,1,3,0.19681388139724731,0.030108284205198288,0.43869748711586,0.0,TN
8,1,4,0.19977118074893951,0.9421781301498413,0.08614549040794373,0.0,TN
9,1,5,0.20722997188568115,0.00020112171478103846,0.6745565533638,1.0,TP
10,2,0,0.19389447569847107,0.004647605586796999,0.058363430202007294,0.0,TN
11,2,1,0.20321017503738403,2.28838525906383e-09,0.9532056450843811,1.0,TP
12,2,3,0.19223268330097198,0.5076409578323364,0.07598238438367844,0.0,TN
13,2,4,0.19463607668876648,0.02679651789367199,0.08240413665771484,0.0,TN
14,2,5,0.20383255183696747,8.555118984077126e-05,0.9400804042816162,0.0,FP
15,3,0,0.19423756003379822,0.6798890829086304,0.07788506150245667,0.0,TN
16,3,1,0.19681388139724731,0.030108284205198288,0.43869748711586,0.0,TN
17,3,2,0.19223268330097198,0.5076409578323364,0.07598238438367844,0.0,TN
18,3,4,0.20546479523181915,3.196461761945102e-09,0.9403795003890991,1.0,TP
19,3,5,0.19950953125953674,0.0016893470892682672,0.08363555371761322,0.0,TN
20,4,0,0.19896388053894043,0.0013155083870515227,0.06775400787591934,0.0,TN
21,4,1,0.19977118074893951,0.9421781301498413,0.08614549040794373,0.0,TN
22,4,2,0.19463607668876648,0.02679651789367199,0.08240413665771484,0.0,TN
23,4,3,0.20546479523181915,3.196461761945102e-09,0.9403795003890991,1.0,TP
24,4,5,0.2032400220632553,2.707593694140087e-06,0.7515065670013428,1.0,TP
25,5,0,0.20317748188972473,0.8054344058036804,0.061744846403598785,0.0,TN
26,5,1,0.20722997188568115,0.00020112171478103846,0.6745565533638,1.0,TP
27,5,2,0.20383255183696747,8.555118984077126e-05,0.9400804042816162,0.0,FP
28,5,3,0.19950953125953674,0.0016893470892682672,0.08363555371761322,0.0,TN
29,5,4,0.2032400220632553,2.707593694140087e-06,0.7515065670013428,1.0,TP
