edge_idx,src,tgt,a1,a2,prob,true_label,edge_class
0,0,1,0.09713216125965118,0.034367434680461884,1.024459493237373e-06,0.0,TN
1,0,2,0.09737594425678253,0.14520689845085144,1.0751250556495506e-06,0.0,TN
2,0,3,0.09823472797870636,0.035371068865060806,1.741664618748473e-06,0.0,TN
3,0,4,0.09616309404373169,0.11238951981067657,1.0248761554976227e-06,0.0,TN
4,0,5,0.09388836473226547,0.056230492889881134,9.467761401538155e-07,0.0,TN
5,0,6,0.0852232351899147,0.09107710421085358,7.657671403649147e-07,0.0,TN
6,0,7,0.08110912144184113,0.05315183475613594,1.0046303486888064e-06,0.0,TN
7,0,8,0.0785425454378128,0.18274806439876556,8.341123702848563e-07,0.0,TN
8,0,38,0.09616691619157791,0.13490378856658936,9.452994618186494e-07,0.0,TN
9,0,40,0.09406200796365738,0.028752822428941727,1.0823894172062865e-06,0.0,TN
10,1,0,0.09713216125965118,0.034367434680461884,1.024459493237373e-06,0.0,TN
11,1,2,0.09616647660732269,0.11762353777885437,0.99949711561203,1.0,TP
12,1,3,0.09921401739120483,0.007826423272490501,0.056360725313425064,0.0,TN
13,1,4,0.09598596394062042,0.06863696873188019,1.6341053878932144e-06,0.0,TN
14,1,5,0.09391883760690689,0.05205405130982399,7.5941979957860895e-06,0.0,TN
15,1,6,0.08576737344264984,0.025287967175245285,3.71477699445677e-06,0.0,TN
16,1,7,0.08196044713258743,0.006943397223949432,1.8110395103576593e-06,0.0,TN
17,1,8,0.07896439731121063,0.14037981629371643,1.1088575320172822e-06,0.0,TN
18,1,38,0.09556009620428085,0.08051548898220062,2.4799768652883358e-05,0.0,TN
19,1,40,0.09495778381824493,0.0037885201163589954,1.5638593140465673e-06,0.0,TN
20,2,0,0.09737594425678253,0.14520689845085144,1.0751250556495506e-06,0.0,TN
21,2,1,0.09616647660732269,0.11762353777885437,0.99949711561203,1.0,TP
22,2,3,0.09910714626312256,0.05765344575047493,2.717877123359358e-06,0.0,TN
23,2,4,0.09593462944030762,0.25354647636413574,1.2866613587902975e-06,0.0,TN
24,2,5,0.09422826766967773,0.10867300629615784,1.180080175799958e-06,0.0,TN
25,2,6,0.08616861701011658,0.128877654671669,1.1979167311437777e-06,0.0,TN
26,2,7,0.08219406008720398,0.08082917332649231,1.0666051366570173e-06,0.0,TN
27,2,8,0.07921519875526428,0.2687559723854065,9.766172297531739e-07,0.0,TN
28,2,38,0.09516124427318573,0.12271080911159515,0.9983804225921631,1.0,TP
29,2,40,0.09545567631721497,0.02896629087626934,1.1756601452361792e-06,0.0,TN
30,3,0,0.09823472797870636,0.035371068865060806,1.741664618748473e-06,0.0,TN
31,3,1,0.09921401739120483,0.007826423272490501,0.056360725313425064,0.0,TN
32,3,2,0.09910714626312256,0.05765344575047493,2.717877123359358e-06,0.0,TN
33,3,4,0.09760348498821259,0.027617504820227623,0.9994872808456421,1.0,TP
34,3,5,0.0955190509557724,0.12536364793777466,0.0003138238680548966,0.0,TN
35,3,6,0.08706319332122803,0.01853659376502037,3.743361958186142e-05,0.0,TN
36,3,7,0.08326175808906555,0.027125714346766472,1.9978310774604324e-06,0.0,TN
37,3,8,0.08002335578203201,0.24167852103710175,1.1822610304079717e-06,0.0,TN
38,3,38,0.09837457537651062,0.0654008686542511,5.243070972937858e-06,0.0,TN
39,3,40,0.0959441065788269,0.02866055816411972,2.617879999888828e-06,0.0,TN
40,4,0,0.09616309404373169,0.11238951981067657,1.0248761554976227e-06,0.0,TN
41,4,1,0.09598596394062042,0.06863696873188019,1.6341053878932144e-06,0.0,TN
42,4,2,0.09593462944030762,0.25354647636413574,1.2866613587902975e-06,0.0,TN
43,4,3,0.09760348498821259,0.027617504820227623,0.9994872808456421,1.0,TP
44,4,5,0.09262856841087341,0.08416715264320374,2.859825144696515e-06,0.0,TN
45,4,6,0.08403882384300232,0.06241588294506073,2.2002489004080417e-06,0.0,TN
46,4,7,0.081435427069664,0.014212818816304207,1.140668928201194e-06,0.0,TN
47,4,8,0.07827192544937134,0.1249651163816452,9.786018608792801e-07,0.0,TN
48,4,38,0.09535494446754456,0.12716805934906006,1.0213474297415814e-06,0.0,TN
49,4,40,0.09374986588954926,0.04894670844078064,1.058070893122931e-06,0.0,TN
50,5,0,0.09388836473226547,0.056230492889881134,9.467761401538155e-07,0.0,TN
51,5,1,0.09391883760690689,0.05205405130982399,7.5941979957860895e-06,0.0,TN
52,5,2,0.09422826766967773,0.10867300629615784,1.180080175799958e-06,0.0,TN
53,5,3,0.0955190509557724,0.12536364793777466,0.0003138238680548966,0.0,TN
54,5,4,0.09262856841087341,0.08416715264320374,2.859825144696515e-06,0.0,TN
55,5,6,0.08175688982009888,0.05605380982160568,0.9998496770858765,1.0,TP
56,5,7,0.07823362201452255,0.04394843056797981,2.224335503342445e-06,0.0,TN
57,5,8,0.07475568354129791,0.2767033576965332,1.126580173149705e-06,0.0,TN
58,5,38,0.09374216943979263,0.13344742357730865,1.973848156922031e-06,0.0,TN
59,5,39,0.08351381123065948,0.08128604292869568,1.3012112276555854e-06,0.0,TN
60,5,40,0.09074771404266357,0.11001141369342804,1.7736354038788704e-06,0.0,TN
61,6,0,0.0852232351899147,0.09107710421085358,7.657671403649147e-07,0.0,TN
62,6,1,0.08576737344264984,0.025287967175245285,3.71477699445677e-06,0.0,TN
63,6,2,0.08616861701011658,0.128877654671669,1.1979167311437777e-06,0.0,TN
64,6,3,0.08706319332122803,0.01853659376502037,3.743361958186142e-05,0.0,TN
65,6,4,0.08403882384300232,0.06241588294506073,2.2002489004080417e-06,0.0,TN
66,6,5,0.08175688982009888,0.05605380982160568,0.9998496770858765,1.0,TP
67,6,7,0.06977880746126175,0.010181346908211708,0.000641085032839328,0.0,TN
68,6,8,0.06655476242303848,0.04974071681499481,1.0856609833354014e-06,0.0,TN
69,6,10,0.081520676612854,0.11532008647918701,1.3151757229934447e-06,0.0,TN
70,6,14,0.07252725958824158,0.024856174364686012,9.60065904109797e-07,0.0,TN
71,6,38,0.08523307740688324,0.10171989351511002,1.6803924154373817e-06,0.0,TN
72,6,39,0.07499644160270691,0.011927345767617226,1.0810729236254701e-06,0.0,TN
73,6,40,0.08221536129713058,0.020365137606859207,1.1446774124124204e-06,0.0,TN
74,7,0,0.08110912144184113,0.05315183475613594,1.0046303486888064e-06,0.0,TN
75,7,1,0.08196044713258743,0.006943397223949432,1.8110395103576593e-06,0.0,TN
76,7,2,0.08219406008720398,0.08082917332649231,1.0666051366570173e-06,0.0,TN
77,7,3,0.08326175808906555,0.027125714346766472,1.9978310774604324e-06,0.0,TN
78,7,4,0.081435427069664,0.014212818816304207,1.140668928201194e-06,0.0,TN
79,7,5,0.07823362201452255,0.04394843056797981,2.224335503342445e-06,0.0,TN
80,7,6,0.06977880746126175,0.010181346908211708,0.000641085032839328,0.0,TN
81,7,8,0.06065733730792999,0.06464281678199768,0.9993797540664673,1.0,TP
82,7,9,0.08171771466732025,0.01956178806722164,1.3067221971141407e-06,0.0,TN
83,7,10,0.07736422121524811,0.08434681594371796,4.214428827253869e-06,0.0,TN
84,7,11,0.07988080382347107,0.011111099272966385,2.128166670445353e-06,0.0,TN
85,7,13,0.08261071890592575,0.0656956136226654,2.641897253852221e-06,0.0,TN
86,7,14,0.06702744215726852,0.04412100836634636,3.802603896474466e-05,0.0,TN
87,7,38,0.08143098652362823,0.06276397407054901,1.27944747418951e-06,0.0,TN
88,7,39,0.07007917761802673,0.010350149124860764,4.1926168705685996e-06,0.0,TN
89,7,40,0.07729575783014297,0.01541188545525074,2.4166572529793484e-06,0.0,TN
90,8,0,0.0785425454378128,0.18274806439876556,8.341123702848563e-07,0.0,TN
91,8,1,0.07896439731121063,0.14037981629371643,1.1088575320172822e-06,0.0,TN
92,8,2,0.07921519875526428,0.2687559723854065,9.766172297531739e-07,0.0,TN
93,8,3,0.08002335578203201,0.24167852103710175,1.1822610304079717e-06,0.0,TN
94,8,4,0.07827192544937134,0.1249651163816452,9.786018608792801e-07,0.0,TN
95,8,5,0.07475568354129791,0.2767033576965332,1.126580173149705e-06,0.0,TN
96,8,6,0.06655476242303848,0.04974071681499481,1.0856609833354014e-06,0.0,TN
97,8,7,0.06065733730792999,0.06464281678199768,0.9993797540664673,1.0,TP
98,8,9,0.07813666760921478,0.14999422430992126,1.2307275483181002e-06,0.0,TN
99,8,10,0.07397449016571045,0.2576883137226105,3.1767697237228276e-06,0.0,TN
100,8,11,0.07681477814912796,0.1630907505750656,1.8625411257744418e-06,0.0,TN
101,8,13,0.07917296141386032,0.3035430908203125,2.4428925371466903e-06,0.0,TN
102,8,14,0.06285203993320465,0.15108007192611694,0.0008165093022398651,0.0,TN
103,8,15,0.07120345532894135,0.1864582896232605,1.6704168501746608e-06,0.0,TN
104,8,16,0.0527205727994442,0.16164720058441162,1.733513272483833e-05,0.0,TN
105,8,38,0.07847436517477036,0.26972803473472595,1.1260376595600974e-06,0.0,TN
106,8,39,0.06530647724866867,0.2038516104221344,0.9073614478111267,1.0,TP
107,8,40,0.07298605144023895,0.22079472243785858,1.8548373645899119e-06,0.0,TN
108,8,41,0.0775681734085083,0.16367337107658386,9.447423963138135e-07,0.0,TN
109,9,7,0.08171771466732025,0.01956178806722164,1.3067221971141407e-06,0.0,TN
110,9,8,0.07813666760921478,0.14999422430992126,1.2307275483181002e-06,0.0,TN
111,9,10,0.0930815264582634,0.06259354948997498,0.9985277652740479,1.0,TP
112,9,11,0.09467697143554688,0.025028329342603683,3.78971981263021e-06,0.0,TN
113,9,12,0.0849616751074791,0.03320097550749779,1.285713324250537e-06,0.0,TN
114,9,13,0.09881623089313507,0.061516955494880676,2.2923206870473223e-06,0.0,TN
115,9,14,0.08400406688451767,0.07993727922439575,1.6176752524188487e-06,0.0,TN
116,9,15,0.0910545140504837,0.2997491657733917,2.9784957860101713e-06,0.0,TN
117,9,16,0.07509932667016983,0.03130399063229561,1.1693957731040427e-06,0.0,TN
